Nombre de la ciudad: Kabul, nombre del pais: Afghanistan, Poblacion ciudad: 1851912
Nombre de la ciudad: Lalbahadur Nagar, nombre del pais: India, Poblacion ciudad: 161782
Nombre de la ciudad: Aizawl, nombre del pais: India, Poblacion ciudad: 161510
Nombre de la ciudad: Uluberia, nombre del pais: India, Poblacion ciudad: 161440
Nombre de la ciudad: Katihar, nombre del pais: India, Poblacion ciudad: 160603
Nombre de la ciudad: Cuddalore, nombre del pais: India, Poblacion ciudad: 159269
Nombre de la ciudad: Hugli-Chinsurah, nombre del pais: India, Poblacion ciudad: 157938
Nombre de la ciudad: Dhanbad, nombre del pais: India, Poblacion ciudad: 157920
Nombre de la ciudad: Raiganj, nombre del pais: India, Poblacion ciudad: 157146
Nombre de la ciudad: Sambhal, nombre del pais: India, Poblacion ciudad: 156963
Nombre de la ciudad: Durg, nombre del pais: India, Poblacion ciudad: 156730
Nombre de la ciudad: Munger (Monghyr), nombre del pais: India, Poblacion ciudad: 156176
Nombre de la ciudad: Kanchipuram, nombre del pais: India, Poblacion ciudad: 156164
Nombre de la ciudad: North Dum Dum, nombre del pais: India, Poblacion ciudad: 156023
Nombre de la ciudad: Karimnagar, nombre del pais: India, Poblacion ciudad: 154585
Nombre de la ciudad: Bharatpur, nombre del pais: India, Poblacion ciudad: 154518
Nombre de la ciudad: Sikar, nombre del pais: India, Poblacion ciudad: 154261
Nombre de la ciudad: Hardwar (Haridwar), nombre del pais: India, Poblacion ciudad: 153256
Nombre de la ciudad: Dabgram, nombre del pais: India, Poblacion ciudad: 153164
Nombre de la ciudad: Morena, nombre del pais: India, Poblacion ciudad: 153067
Nombre de la ciudad: Noida, nombre del pais: India, Poblacion ciudad: 152432
Nombre de la ciudad: Hapur, nombre del pais: India, Poblacion ciudad: 152170
Nombre de la ciudad: Bhusawal, nombre del pais: India, Poblacion ciudad: 151005
Nombre de la ciudad: Khandwa, nombre del pais: India, Poblacion ciudad: 150995
Nombre de la ciudad: Yamuna Nagar, nombre del pais: India, Poblacion ciudad: 150176
Nombre de la ciudad: Sonipat (Sonepat), nombre del pais: India, Poblacion ciudad: 149736
Nombre de la ciudad: Tenali, nombre del pais: India, Poblacion ciudad: 149532
Nombre de la ciudad: Raurkela Civil Township, nombre del pais: India, Poblacion ciudad: 146080
Nombre de la ciudad: Kollam (Quilon), nombre del pais: India, Poblacion ciudad: 145501
Nombre de la ciudad: Kumbakonam, nombre del pais: India, Poblacion ciudad: 145117
Nombre de la ciudad: Ingraj Bazar (English Bazar), nombre del pais: India, Poblacion ciudad: 144827
Nombre de la ciudad: Timkur, nombre del pais: India, Poblacion ciudad: 144514
Nombre de la ciudad: Amroha, nombre del pais: India, Poblacion ciudad: 142598
Nombre de la ciudad: Serampore, nombre del pais: India, Poblacion ciudad: 142563
Nombre de la ciudad: Chapra, nombre del pais: India, Poblacion ciudad: 142406
Nombre de la ciudad: Pali, nombre del pais: India, Poblacion ciudad: 142369
Nombre de la ciudad: Maunath Bhanjan, nombre del pais: India, Poblacion ciudad: 142218
Nombre de la ciudad: Adoni, nombre del pais: India, Poblacion ciudad: 141683
Nombre de la ciudad: Jaunpur, nombre del pais: India, Poblacion ciudad: 141558
Nombre de la ciudad: Tirunelveli, nombre del pais: India, Poblacion ciudad: 141311
Nombre de la ciudad: Bahraich, nombre del pais: India, Poblacion ciudad: 140870
Nombre de la ciudad: Gadag Betigeri, nombre del pais: India, Poblacion ciudad: 139466
Nombre de la ciudad: Proddatur, nombre del pais: India, Poblacion ciudad: 139323
Nombre de la ciudad: Chittoor, nombre del pais: India, Poblacion ciudad: 138853
Nombre de la ciudad: Barrackpur, nombre del pais: India, Poblacion ciudad: 138648
Nombre de la ciudad: Bharuch (Broach), nombre del pais: India, Poblacion ciudad: 138479
Nombre de la ciudad: Naihati, nombre del pais: India, Poblacion ciudad: 138062
Nombre de la ciudad: Shillong, nombre del pais: India, Poblacion ciudad: 137040
Nombre de la ciudad: Sambalpur, nombre del pais: India, Poblacion ciudad: 136435
Nombre de la ciudad: Junagadh, nombre del pais: India, Poblacion ciudad: 135754
Nombre de la ciudad: Rae Bareli, nombre del pais: India, Poblacion ciudad: 135152
Nombre de la ciudad: Rewa, nombre del pais: India, Poblacion ciudad: 134191
Nombre de la ciudad: Gurgaon, nombre del pais: India, Poblacion ciudad: 133803
Nombre de la ciudad: Khammam, nombre del pais: India, Poblacion ciudad: 133162
Nombre de la ciudad: Bulandshahr, nombre del pais: India, Poblacion ciudad: 132339
Nombre de la ciudad: Navsari, nombre del pais: India, Poblacion ciudad: 131182
Nombre de la ciudad: Malkajgiri, nombre del pais: India, Poblacion ciudad: 131158
Nombre de la ciudad: Midnapore (Medinipur), nombre del pais: India, Poblacion ciudad: 130567
Nombre de la ciudad: Miraj, nombre del pais: India, Poblacion ciudad: 130473
Nombre de la ciudad: Raj Nandgaon, nombre del pais: India, Poblacion ciudad: 130435
Nombre de la ciudad: Alandur, nombre del pais: India, Poblacion ciudad: 130302
Nombre de la ciudad: Puri, nombre del pais: India, Poblacion ciudad: 130256
Nombre de la ciudad: Navadwip, nombre del pais: India, Poblacion ciudad: 130087
Nombre de la ciudad: Sirsa, nombre del pais: India, Poblacion ciudad: 130050
Nombre de la ciudad: Korba, nombre del pais: India, Poblacion ciudad: 129530
Nombre de la ciudad: Faizabad, nombre del pais: India, Poblacion ciudad: 129463
Nombre de la ciudad: Etawah, nombre del pais: India, Poblacion ciudad: 129084
Nombre de la ciudad: Pathankot, nombre del pais: India, Poblacion ciudad: 128936
Nombre de la ciudad: Gandhinagar, nombre del pais: India, Poblacion ciudad: 128342
Nombre de la ciudad: Palghat (Palakkad), nombre del pais: India, Poblacion ciudad: 128269
Nombre de la ciudad: Veraval, nombre del pais: India, Poblacion ciudad: 127969
Nombre de la ciudad: Hoshiarpur, nombre del pais: India, Poblacion ciudad: 127662
Nombre de la ciudad: Ambala, nombre del pais: India, Poblacion ciudad: 127547
Nombre de la ciudad: Sitapur, nombre del pais: India, Poblacion ciudad: 126763
Nombre de la ciudad: Bhiwani, nombre del pais: India, Poblacion ciudad: 126542
Nombre de la ciudad: Cuddapah, nombre del pais: India, Poblacion ciudad: 126369
Nombre de la ciudad: Bhimavaram, nombre del pais: India, Poblacion ciudad: 126214
Nombre de la ciudad: Krishnanagar, nombre del pais: India, Poblacion ciudad: 126002
Nombre de la ciudad: Chandannagar, nombre del pais: India, Poblacion ciudad: 125240
Nombre de la ciudad: Mandya, nombre del pais: India, Poblacion ciudad: 125123
Nombre de la ciudad: Dibrugarh, nombre del pais: India, Poblacion ciudad: 124979
Nombre de la ciudad: Nandyal, nombre del pais: India, Poblacion ciudad: 124653
Nombre de la ciudad: Balurghat, nombre del pais: India, Poblacion ciudad: 124634
Nombre de la ciudad: Neyveli, nombre del pais: India, Poblacion ciudad: 122849
Nombre de la ciudad: Fatehpur, nombre del pais: India, Poblacion ciudad: 122428
Nombre de la ciudad: Mahbubnagar, nombre del pais: India, Poblacion ciudad: 121552
Nombre de la ciudad: Budaun, nombre del pais: India, Poblacion ciudad: 121408
Nombre de la ciudad: Porbandar, nombre del pais: India, Poblacion ciudad: 121384
Nombre de la ciudad: Silchar, nombre del pais: India, Poblacion ciudad: 120147
Nombre de la ciudad: Berhampore (Baharampur), nombre del pais: India, Poblacion ciudad: 119794
Nombre de la ciudad: Purnea (Purnia), nombre del pais: India, Poblacion ciudad: 119554
Nombre de la ciudad: Bankura, nombre del pais: India, Poblacion ciudad: 119516
Nombre de la ciudad: Rajapalaiyam, nombre del pais: India, Poblacion ciudad: 118815
Nombre de la ciudad: Titagarh, nombre del pais: India, Poblacion ciudad: 118693
Nombre de la ciudad: Halisahar, nombre del pais: India, Poblacion ciudad: 118634
Nombre de la ciudad: Hathras, nombre del pais: India, Poblacion ciudad: 117861
Nombre de la ciudad: Bhir (Bid), nombre del pais: India, Poblacion ciudad: 116975
Nombre de la ciudad: Pallavaram, nombre del pais: India, Poblacion ciudad: 116385
Nombre de la ciudad: Anand, nombre del pais: India, Poblacion ciudad: 114720
Nombre de la ciudad: Mango, nombre del pais: India, Poblacion ciudad: 114468
Nombre de la ciudad: Santipur, nombre del pais: India, Poblacion ciudad: 114398
Nombre de la ciudad: Bhind, nombre del pais: India, Poblacion ciudad: 114189
Nombre de la ciudad: Gondiya, nombre del pais: India, Poblacion ciudad: 113892
Nombre de la ciudad: Tiruvannamalai, nombre del pais: India, Poblacion ciudad: 113606
Nombre de la ciudad: Yeotmal (Yavatmal), nombre del pais: India, Poblacion ciudad: 112963
Nombre de la ciudad: Kulti-Barakar, nombre del pais: India, Poblacion ciudad: 112901
Nombre de la ciudad: Moga, nombre del pais: India, Poblacion ciudad: 112679
Nombre de la ciudad: Shivapuri, nombre del pais: India, Poblacion ciudad: 112650
Nombre de la ciudad: Bidar, nombre del pais: India, Poblacion ciudad: 112379
Nombre de la ciudad: Guntakal, nombre del pais: India, Poblacion ciudad: 111937
Nombre de la ciudad: Unnao, nombre del pais: India, Poblacion ciudad: 111764
Nombre de la ciudad: Barasat, nombre del pais: India, Poblacion ciudad: 111702
Nombre de la ciudad: Tambaram, nombre del pais: India, Poblacion ciudad: 111516
Nombre de la ciudad: Abohar, nombre del pais: India, Poblacion ciudad: 111492
Nombre de la ciudad: Pilibhit, nombre del pais: India, Poblacion ciudad: 110911
Nombre de la ciudad: Valparai, nombre del pais: India, Poblacion ciudad: 110826
Nombre de la ciudad: Gonda, nombre del pais: India, Poblacion ciudad: 110362
Nombre de la ciudad: Surendranagar, nombre del pais: India, Poblacion ciudad: 110253
Nombre de la ciudad: Qutubullapur, nombre del pais: India, Poblacion ciudad: 109636
Nombre de la ciudad: Beawar, nombre del pais: India, Poblacion ciudad: 109619
Nombre de la ciudad: Hindupur, nombre del pais: India, Poblacion ciudad: 108878
Nombre de la ciudad: Gandhidham, nombre del pais: India, Poblacion ciudad: 108809
Nombre de la ciudad: Haldwani-cum-Kathgodam, nombre del pais: India, Poblacion ciudad: 108403
Nombre de la ciudad: Tellicherry (Thalassery), nombre del pais: India, Poblacion ciudad: 107763
Nombre de la ciudad: Wardha, nombre del pais: India, Poblacion ciudad: 107144
Nombre de la ciudad: Rishra, nombre del pais: India, Poblacion ciudad: 106795
Nombre de la ciudad: Bhuj, nombre del pais: India, Poblacion ciudad: 106303
Nombre de la ciudad: Modinagar, nombre del pais: India, Poblacion ciudad: 105766
Nombre de la ciudad: Gudivada, nombre del pais: India, Poblacion ciudad: 105762
Nombre de la ciudad: Basirhat, nombre del pais: India, Poblacion ciudad: 105505
Nombre de la ciudad: Uttarpara-Kotrung, nombre del pais: India, Poblacion ciudad: 104941
Nombre de la ciudad: Ongole, nombre del pais: India, Poblacion ciudad: 104909
Nombre de la ciudad: North Barrackpur, nombre del pais: India, Poblacion ciudad: 104573
Nombre de la ciudad: Guna, nombre del pais: India, Poblacion ciudad: 104548
Nombre de la ciudad: Haldia, nombre del pais: India, Poblacion ciudad: 104400
Nombre de la ciudad: Habra, nombre del pais: India, Poblacion ciudad: 104271
Nombre de la ciudad: Kanchrapara, nombre del pais: India, Poblacion ciudad: 104240
Nombre de la ciudad: Tonk, nombre del pais: India, Poblacion ciudad: 104121
Nombre de la ciudad: Champdani, nombre del pais: India, Poblacion ciudad: 102809
Nombre de la ciudad: Orai, nombre del pais: India, Poblacion ciudad: 102624
Nombre de la ciudad: Pudukkottai, nombre del pais: India, Poblacion ciudad: 102602
Nombre de la ciudad: Sasaram, nombre del pais: India, Poblacion ciudad: 102187
Nombre de la ciudad: Hazaribag, nombre del pais: India, Poblacion ciudad: 101659
Nombre de la ciudad: Palayankottai, nombre del pais: India, Poblacion ciudad: 101607
Nombre de la ciudad: Banda, nombre del pais: India, Poblacion ciudad: 101154
Nombre de la ciudad: Godhra, nombre del pais: India, Poblacion ciudad: 100723
Nombre de la ciudad: Hospet, nombre del pais: India, Poblacion ciudad: 100212
Nombre de la ciudad: Ashoknagar-Kalyangarh, nombre del pais: India, Poblacion ciudad: 100205
Nombre de la ciudad: Achalpur, nombre del pais: India, Poblacion ciudad: 100102
Nombre de la ciudad: Patan, nombre del pais: India, Poblacion ciudad: 99991
Nombre de la ciudad: Mandasor, nombre del pais: India, Poblacion ciudad: 99626
Nombre de la ciudad: Damoh, nombre del pais: India, Poblacion ciudad: 99525
Nombre de la ciudad: Satara, nombre del pais: India, Poblacion ciudad: 98975
Nombre de la ciudad: Meerut Cantonment, nombre del pais: India, Poblacion ciudad: 98708
Nombre de la ciudad: Dehri, nombre del pais: India, Poblacion ciudad: 98344
Nombre de la ciudad: Delhi Cantonment, nombre del pais: India, Poblacion ciudad: 98136
Nombre de la ciudad: Chhindwara, nombre del pais: India, Poblacion ciudad: 97517
Nombre de la ciudad: Bansberia, nombre del pais: India, Poblacion ciudad: 97221
Nombre de la ciudad: Nagaon, nombre del pais: India, Poblacion ciudad: 97121
Nombre de la ciudad: Kanpur Cantonment, nombre del pais: India, Poblacion ciudad: 96870
Nombre de la ciudad: Vidisha, nombre del pais: India, Poblacion ciudad: 96670
Nombre de la ciudad: Bettiah, nombre del pais: India, Poblacion ciudad: 96322
Nombre de la ciudad: Purulia, nombre del pais: India, Poblacion ciudad: 96313
Nombre de la ciudad: Hassan, nombre del pais: India, Poblacion ciudad: 94471
Nombre de la ciudad: Ambala Sadar, nombre del pais: India, Poblacion ciudad: 94376
Nombre de la ciudad: Baidyabati, nombre del pais: India, Poblacion ciudad: 94261
Nombre de la ciudad: Morvi, nombre del pais: India, Poblacion ciudad: 94007
Nombre de la ciudad: Raigarh, nombre del pais: India, Poblacion ciudad: 92767
Nombre de la ciudad: Vejalpur, nombre del pais: India, Poblacion ciudad: 92650
Nombre de la ciudad: Teheran, nombre del pais: Iran, Poblacion ciudad: 7031901
Nombre de la ciudad: Mashhad, nombre del pais: Iran, Poblacion ciudad: 1963656
Nombre de la ciudad: Esfahan, nombre del pais: Iran, Poblacion ciudad: 1317220
Nombre de la ciudad: Tabriz, nombre del pais: Iran, Poblacion ciudad: 1239160
Nombre de la ciudad: Shiraz, nombre del pais: Iran, Poblacion ciudad: 1095566
Nombre de la ciudad: Karaj, nombre del pais: Iran, Poblacion ciudad: 978982
Nombre de la ciudad: Ahvaz, nombre del pais: Iran, Poblacion ciudad: 837500
Nombre de la ciudad: Qom, nombre del pais: Iran, Poblacion ciudad: 809094
Nombre de la ciudad: Kermanshah, nombre del pais: Iran, Poblacion ciudad: 720981
Nombre de la ciudad: Urmia, nombre del pais: Iran, Poblacion ciudad: 452782
Nombre de la ciudad: Zahedan, nombre del pais: Iran, Poblacion ciudad: 436466
Nombre de la ciudad: Rasht, nombre del pais: Iran, Poblacion ciudad: 434624
Nombre de la ciudad: Hamadan, nombre del pais: Iran, Poblacion ciudad: 417492
Nombre de la ciudad: Kerman, nombre del pais: Iran, Poblacion ciudad: 400543
Nombre de la ciudad: Arak, nombre del pais: Iran, Poblacion ciudad: 396137
Nombre de la ciudad: Ardebil, nombre del pais: Iran, Poblacion ciudad: 354136
Nombre de la ciudad: Yazd, nombre del pais: Iran, Poblacion ciudad: 339977
Nombre de la ciudad: Qazvin, nombre del pais: Iran, Poblacion ciudad: 302877
Nombre de la ciudad: Zanjan, nombre del pais: Iran, Poblacion ciudad: 297860
Nombre de la ciudad: Sanandaj, nombre del pais: Iran, Poblacion ciudad: 289031
Nombre de la ciudad: Bandar-e-Abbas, nombre del pais: Iran, Poblacion ciudad: 284629
Nombre de la ciudad: Khorramabad, nombre del pais: Iran, Poblacion ciudad: 283836
Nombre de la ciudad: Eslamshahr, nombre del pais: Iran, Poblacion ciudad: 276174
Nombre de la ciudad: Borujerd, nombre del pais: Iran, Poblacion ciudad: 226603
Nombre de la ciudad: Abadan, nombre del pais: Iran, Poblacion ciudad: 214397
Nombre de la ciudad: Dezful, nombre del pais: Iran, Poblacion ciudad: 210824
Nombre de la ciudad: Kashan, nombre del pais: Iran, Poblacion ciudad: 209506
Nombre de la ciudad: Sari, nombre del pais: Iran, Poblacion ciudad: 203794
Nombre de la ciudad: Gorgan, nombre del pais: Iran, Poblacion ciudad: 196333
Nombre de la ciudad: Najafabad, nombre del pais: Iran, Poblacion ciudad: 185708
Nombre de la ciudad: Sabzevar, nombre del pais: Iran, Poblacion ciudad: 177635
Nombre de la ciudad: Khomeynishahr, nombre del pais: Iran, Poblacion ciudad: 172589
Nombre de la ciudad: Amol, nombre del pais: Iran, Poblacion ciudad: 165518
Nombre de la ciudad: Neyshabur, nombre del pais: Iran, Poblacion ciudad: 165263
Nombre de la ciudad: Babol, nombre del pais: Iran, Poblacion ciudad: 164742
Nombre de la ciudad: Khoy, nombre del pais: Iran, Poblacion ciudad: 154960
Nombre de la ciudad: Malayer, nombre del pais: Iran, Poblacion ciudad: 150205
Nombre de la ciudad: Bushehr, nombre del pais: Iran, Poblacion ciudad: 149443
Nombre de la ciudad: Qaemshahr, nombre del pais: Iran, Poblacion ciudad: 149074
Nombre de la ciudad: Qarchak, nombre del pais: Iran, Poblacion ciudad: 148453
Nombre de la ciudad: Qods, nombre del pais: Iran, Poblacion ciudad: 143863
Nombre de la ciudad: Sirjan, nombre del pais: Iran, Poblacion ciudad: 140478
Nombre de la ciudad: Bojnurd, nombre del pais: Iran, Poblacion ciudad: 140281
Nombre de la ciudad: Maragheh, nombre del pais: Iran, Poblacion ciudad: 137663
Nombre de la ciudad: Birjand, nombre del pais: Iran, Poblacion ciudad: 132763
Nombre de la ciudad: Ilam, nombre del pais: Iran, Poblacion ciudad: 131449
Nombre de la ciudad: Bukan, nombre del pais: Iran, Poblacion ciudad: 124868
Nombre de la ciudad: Masjed-e-Soleyman, nombre del pais: Iran, Poblacion ciudad: 121604
Nombre de la ciudad: Saqqez, nombre del pais: Iran, Poblacion ciudad: 120055
Nombre de la ciudad: Gonbad-e Qabus, nombre del pais: Iran, Poblacion ciudad: 115747
Nombre de la ciudad: Saveh, nombre del pais: Iran, Poblacion ciudad: 115738
Nombre de la ciudad: Mahabad, nombre del pais: Iran, Poblacion ciudad: 112153
Nombre de la ciudad: Varamin, nombre del pais: Iran, Poblacion ciudad: 111564
Nombre de la ciudad: Andimeshk, nombre del pais: Iran, Poblacion ciudad: 111242
Nombre de la ciudad: Khorramshahr, nombre del pais: Iran, Poblacion ciudad: 109902
Nombre de la ciudad: Shahrud, nombre del pais: Iran, Poblacion ciudad: 108997
Nombre de la ciudad: Marv Dasht, nombre del pais: Iran, Poblacion ciudad: 107763
Nombre de la ciudad: Zabol, nombre del pais: Iran, Poblacion ciudad: 104962
Nombre de la ciudad: Shahr-e Kord, nombre del pais: Iran, Poblacion ciudad: 104535
Nombre de la ciudad: Bandar-e Anzali, nombre del pais: Iran, Poblacion ciudad: 102479
Nombre de la ciudad: Rafsanjan, nombre del pais: Iran, Poblacion ciudad: 102271
Nombre de la ciudad: Marand, nombre del pais: Iran, Poblacion ciudad: 100294
Nombre de la ciudad: Torbat-e Heydariyeh, nombre del pais: Iran, Poblacion ciudad: 98421
Nombre de la ciudad: Jahrom, nombre del pais: Iran, Poblacion ciudad: 98005
Nombre de la ciudad: Semnan, nombre del pais: Iran, Poblacion ciudad: 94722
Nombre de la ciudad: Miandoab, nombre del pais: Iran, Poblacion ciudad: 93740
Nombre de la ciudad: Qomsheh, nombre del pais: Iran, Poblacion ciudad: 93427
Nombre de la ciudad: Baghdad, nombre del pais: Iraq, Poblacion ciudad: 4511174
Nombre de la ciudad: Mosul, nombre del pais: Iraq, Poblacion ciudad: 914511
Nombre de la ciudad: Irbil, nombre del pais: Iraq, Poblacion ciudad: 505600
Nombre de la ciudad: Kirkuk, nombre del pais: Iraq, Poblacion ciudad: 435535
Nombre de la ciudad: Basra, nombre del pais: Iraq, Poblacion ciudad: 422709
Nombre de la ciudad: al-Sulaymaniya, nombre del pais: Iraq, Poblacion ciudad: 378804
Nombre de la ciudad: al-Najaf, nombre del pais: Iraq, Poblacion ciudad: 321493
Nombre de la ciudad: Karbala, nombre del pais: Iraq, Poblacion ciudad: 308691
Nombre de la ciudad: al-Hilla, nombre del pais: Iraq, Poblacion ciudad: 279694
Nombre de la ciudad: al-Nasiriya, nombre del pais: Iraq, Poblacion ciudad: 276680
Nombre de la ciudad: al-Amara, nombre del pais: Iraq, Poblacion ciudad: 217231
Nombre de la ciudad: al-Diwaniya, nombre del pais: Iraq, Poblacion ciudad: 204457
Nombre de la ciudad: al-Ramadi, nombre del pais: Iraq, Poblacion ciudad: 200335
Nombre de la ciudad: al-Kut, nombre del pais: Iraq, Poblacion ciudad: 190582
Nombre de la ciudad: Baquba, nombre del pais: Iraq, Poblacion ciudad: 119142
Nombre de la ciudad: Jerusalem, nombre del pais: Israel, Poblacion ciudad: 659301
Nombre de la ciudad: Tel Aviv-Jaffa, nombre del pais: Israel, Poblacion ciudad: 362163
Nombre de la ciudad: Haifa, nombre del pais: Israel, Poblacion ciudad: 276434
Nombre de la ciudad: Rishon Le Ziyyon, nombre del pais: Israel, Poblacion ciudad: 195803
Nombre de la ciudad: Beerseba, nombre del pais: Israel, Poblacion ciudad: 170313
Nombre de la ciudad: Holon, nombre del pais: Israel, Poblacion ciudad: 169689
Nombre de la ciudad: Petah Tiqwa, nombre del pais: Israel, Poblacion ciudad: 165839
Nombre de la ciudad: Ashdod, nombre del pais: Israel, Poblacion ciudad: 162094
Nombre de la ciudad: Netanya, nombre del pais: Israel, Poblacion ciudad: 161157
Nombre de la ciudad: Bat Yam, nombre del pais: Israel, Poblacion ciudad: 142534
Nombre de la ciudad: Bene Beraq, nombre del pais: Israel, Poblacion ciudad: 139309
Nombre de la ciudad: Ramat Gan, nombre del pais: Israel, Poblacion ciudad: 132026
Nombre de la ciudad: Ashqelon, nombre del pais: Israel, Poblacion ciudad: 96028
Nombre de la ciudad: Rehovot, nombre del pais: Israel, Poblacion ciudad: 93948
Nombre de la ciudad: Amman, nombre del pais: Jordan, Poblacion ciudad: 1040400
Nombre de la ciudad: al-Zarqa, nombre del pais: Jordan, Poblacion ciudad: 405563
Nombre de la ciudad: Irbid, nombre del pais: Jordan, Poblacion ciudad: 240863
Nombre de la ciudad: al-Rusayfa, nombre del pais: Jordan, Poblacion ciudad: 142790
Nombre de la ciudad: Wadi al-Sir, nombre del pais: Jordan, Poblacion ciudad: 92703
Nombre de la ciudad: Tokyo, nombre del pais: Japan, Poblacion ciudad: 8302630
Nombre de la ciudad: Jokohama [Yokohama], nombre del pais: Japan, Poblacion ciudad: 3474512
Nombre de la ciudad: Osaka, nombre del pais: Japan, Poblacion ciudad: 2700538
Nombre de la ciudad: Nagoya, nombre del pais: Japan, Poblacion ciudad: 2241412
Nombre de la ciudad: Sapporo, nombre del pais: Japan, Poblacion ciudad: 1863237
Nombre de la ciudad: Kioto, nombre del pais: Japan, Poblacion ciudad: 1521037
Nombre de la ciudad: Kobe, nombre del pais: Japan, Poblacion ciudad: 1482713
Nombre de la ciudad: Fukuoka, nombre del pais: Japan, Poblacion ciudad: 1361236
Nombre de la ciudad: Kawasaki, nombre del pais: Japan, Poblacion ciudad: 1266540
Nombre de la ciudad: Hiroshima, nombre del pais: Japan, Poblacion ciudad: 1164328
Nombre de la ciudad: Kitakyushu, nombre del pais: Japan, Poblacion ciudad: 1057320
Nombre de la ciudad: Sendai, nombre del pais: Japan, Poblacion ciudad: 1029969
Nombre de la ciudad: Chiba, nombre del pais: Japan, Poblacion ciudad: 898832
Nombre de la ciudad: Sakai, nombre del pais: Japan, Poblacion ciudad: 829962
Nombre de la ciudad: Kumamoto, nombre del pais: Japan, Poblacion ciudad: 683265
Nombre de la ciudad: Okayama, nombre del pais: Japan, Poblacion ciudad: 649489
Nombre de la ciudad: Sagamihara, nombre del pais: Japan, Poblacion ciudad: 609986
Nombre de la ciudad: Hamamatsu, nombre del pais: Japan, Poblacion ciudad: 591774
Nombre de la ciudad: Kagoshima, nombre del pais: Japan, Poblacion ciudad: 572195
Nombre de la ciudad: Funabashi, nombre del pais: Japan, Poblacion ciudad: 567328
Nombre de la ciudad: Higashiosaka, nombre del pais: Japan, Poblacion ciudad: 538702
Nombre de la ciudad: Hachioji, nombre del pais: Japan, Poblacion ciudad: 534194
Nombre de la ciudad: Niigata, nombre del pais: Japan, Poblacion ciudad: 517561
Nombre de la ciudad: Amagasaki, nombre del pais: Japan, Poblacion ciudad: 500883
Nombre de la ciudad: Himeji, nombre del pais: Japan, Poblacion ciudad: 494363
Nombre de la ciudad: Shizuoka, nombre del pais: Japan, Poblacion ciudad: 492997
Nombre de la ciudad: Urawa, nombre del pais: Japan, Poblacion ciudad: 488649
Nombre de la ciudad: Matsuyama, nombre del pais: Japan, Poblacion ciudad: 484964
Nombre de la ciudad: Matsudo, nombre del pais: Japan, Poblacion ciudad: 479754
Nombre de la ciudad: Kanazawa, nombre del pais: Japan, Poblacion ciudad: 473782
Nombre de la ciudad: Kawaguchi, nombre del pais: Japan, Poblacion ciudad: 470421
Nombre de la ciudad: Ichikawa, nombre del pais: Japan, Poblacion ciudad: 459744
Nombre de la ciudad: Omiya, nombre del pais: Japan, Poblacion ciudad: 459490
Nombre de la ciudad: Utsunomiya, nombre del pais: Japan, Poblacion ciudad: 458143
Nombre de la ciudad: Oita, nombre del pais: Japan, Poblacion ciudad: 450910
Nombre de la ciudad: Nagasaki, nombre del pais: Japan, Poblacion ciudad: 450242
Nombre de la ciudad: Yokosuka, nombre del pais: Japan, Poblacion ciudad: 447580
Nombre de la ciudad: Kurashiki, nombre del pais: Japan, Poblacion ciudad: 442277
Nombre de la ciudad: Gifu, nombre del pais: Japan, Poblacion ciudad: 424490
Nombre de la ciudad: Hirakata, nombre del pais: Japan, Poblacion ciudad: 419438
Nombre de la ciudad: Nishinomiya, nombre del pais: Japan, Poblacion ciudad: 413681
Nombre de la ciudad: Toyonaka, nombre del pais: Japan, Poblacion ciudad: 412714
Nombre de la ciudad: Wakayama, nombre del pais: Japan, Poblacion ciudad: 407038
Nombre de la ciudad: Fukuyama, nombre del pais: Japan, Poblacion ciudad: 392148
Nombre de la ciudad: Fujisawa, nombre del pais: Japan, Poblacion ciudad: 387901
Nombre de la ciudad: Asahikawa, nombre del pais: Japan, Poblacion ciudad: 379551
Nombre de la ciudad: Machida, nombre del pais: Japan, Poblacion ciudad: 378909
Nombre de la ciudad: Nara, nombre del pais: Japan, Poblacion ciudad: 377469
Nombre de la ciudad: Takatsuki, nombre del pais: Japan, Poblacion ciudad: 376360
Nombre de la ciudad: Iwaki, nombre del pais: Japan, Poblacion ciudad: 376350
Nombre de la ciudad: Nagano, nombre del pais: Japan, Poblacion ciudad: 375990
Nombre de la ciudad: Toyohashi, nombre del pais: Japan, Poblacion ciudad: 374612
Nombre de la ciudad: Toyota, nombre del pais: Japan, Poblacion ciudad: 360071
Nombre de la ciudad: Suita, nombre del pais: Japan, Poblacion ciudad: 359718
Nombre de la ciudad: Takamatsu, nombre del pais: Japan, Poblacion ciudad: 345902
Nombre de la ciudad: Koriyama, nombre del pais: Japan, Poblacion ciudad: 343679
Nombre de la ciudad: Okazaki, nombre del pais: Japan, Poblacion ciudad: 341990
Nombre de la ciudad: Kawagoe, nombre del pais: Japan, Poblacion ciudad: 340430
Nombre de la ciudad: Tokorozawa, nombre del pais: Japan, Poblacion ciudad: 338971
Nombre de la ciudad: Toyama, nombre del pais: Japan, Poblacion ciudad: 338951
Nombre de la ciudad: Kochi, nombre del pais: Japan, Poblacion ciudad: 337828
Nombre de la ciudad: Kashiwa, nombre del pais: Japan, Poblacion ciudad: 333235
Nombre de la ciudad: Akita, nombre del pais: Japan, Poblacion ciudad: 327142
Nombre de la ciudad: Miyazaki, nombre del pais: Japan, Poblacion ciudad: 316056
